City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
274,Kokopo,PG,85.82,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
277,Vaitape,PF,77.74,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
280,Kuching,MY,80.82,few clouds,1.55,110.3333,Hilton Kuching
281,Banjar,ID,85.91,scattered clouds,-8.19,114.9675,The Hamsa Resort
283,Zhongxing,CN,84.42,overcast clouds,33.7039,118.6792,New Century Grand Hotel Siyang
284,Aquiraz,BR,80.69,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
288,Grand-Santi,GF,73.08,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
290,Dwarka,IN,82.98,few clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
291,Tateyama,JP,79.11,light rain,34.9833,139.8667,Tateyama Seaside Hotel
293,Coahuayana,MX,76.66,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
298,Haicheng,CN,79.18,broken clouds,40.8516,122.7475,Haicheng Grand Hotel
300,Bonthe,SL,75.63,moderate rain,7.5264,-12.505,Bonthe Holiday Village
301,Erzin,TR,75.6,few clouds,36.9559,36.2,Artemis Otel
302,Ghogha,IN,86.11,haze,21.6833,72.2833,"GUEST HOUSE,GHOGHA"
303,Ingham,US,71.78,overcast clouds,42.6,-84.3833,Sunset Mobile Home Park
304,Buala,SB,84.02,light rain,-8.145,159.5921,Maringe Lagoon Lodge
308,Holly Hill,US,79.02,broken clouds,29.2436,-81.0376,Hilton Daytona Beach Oceanfront Resort
309,Itoman,JP,90.37,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
310,Biabou,VC,80.15,overcast clouds,13.2,-61.1333,Spring Garden Resort
312,Mahebourg,MU,70.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
