City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
238,Bathsheba,13.2167,-59.5167,81.21,96,75,17.27,BB,broken clouds
239,Idrinskoye,54.3708,92.1358,69.1,62,29,7.47,RU,scattered clouds
240,Port Keats,-14.25,129.55,83.86,29,92,3.38,AU,overcast clouds
241,Vila Franca Do Campo,37.7167,-25.4333,72.19,94,22,6.04,PT,few clouds
242,Hibbing,47.4272,-92.9377,72.75,51,0,0.0,US,clear sky
243,Tabas,33.5959,56.9244,90.18,9,0,2.1,IR,clear sky
244,Polis,35.0367,32.4264,75.02,52,0,2.15,CY,clear sky
245,Blumberg,47.8406,8.5333,57.7,71,2,4.88,DE,clear sky
246,Micheweni,-4.9667,39.8333,73.98,80,29,11.56,TZ,scattered clouds
247,Komsomolskiy,40.4272,71.7189,86.72,26,0,4.61,UZ,clear sky
248,Sisimiut,66.9395,-53.6735,41.23,87,100,2.91,GL,overcast clouds
249,Kafue,-15.7691,28.1814,49.17,69,0,4.94,ZM,clear sky
250,Broome,42.2506,-75.833,70.0,83,72,4.0,US,broken clouds
251,Jinotega,13.0917,-86.0018,64.09,95,43,4.85,NI,scattered clouds
252,Ukiah,39.1502,-123.2078,87.69,23,0,9.22,US,clear sky
253,Lagoa,39.05,-27.9833,69.62,88,75,7.63,PT,broken clouds
254,Adrar,20.5022,-10.0711,89.01,14,2,9.31,MR,clear sky
255,Vao,-22.6667,167.4833,69.82,61,51,24.05,NC,broken clouds
256,Parrita,9.5201,-84.3225,77.76,87,39,2.59,CR,scattered clouds
257,Dalby,-27.1833,151.2667,71.98,24,0,3.0,AU,clear sky
258,Northam,51.0333,-4.2167,59.61,75,17,9.53,GB,few clouds
259,Clonakilty,51.6231,-8.8706,61.09,89,93,7.2,IE,overcast clouds
260,Saint-Georges,12.0564,-61.7485,78.48,89,40,17.27,GD,scattered clouds
261,Guerrero Negro,27.9769,-114.0611,67.28,85,4,13.22,MX,clear sky
262,Chaibasa,22.5667,85.8167,80.47,89,86,11.03,IN,overcast clouds
263,Estevan,49.1334,-102.9842,78.22,83,20,6.91,CA,few clouds
264,Vagur,61.4732,-6.8119,51.4,85,80,22.84,FO,broken clouds
265,Yinchuan,38.4681,106.2731,86.11,19,90,5.26,CN,overcast clouds
266,Bontang,0.1333,117.5,84.16,69,100,8.28,ID,heavy intensity rain
267,Sajanan,37.0573,9.2426,65.32,54,0,3.02,TN,clear sky
268,Puli,23.9664,120.9695,92.35,65,99,5.14,TW,overcast clouds
269,Yar-Sale,66.8333,70.8333,66.56,50,36,8.39,RU,scattered clouds
270,Hasaki,35.7333,140.8333,82.29,90,49,19.93,JP,scattered clouds
271,Fort Nelson,58.8053,-122.7002,74.79,50,40,3.44,CA,scattered clouds
272,Rio Gallegos,-51.6226,-69.2181,33.85,69,0,14.97,AR,clear sky
273,Yuancheng,36.652,107.7896,72.41,47,99,3.89,CN,overcast clouds
274,Kokopo,-4.352,152.2633,85.82,62,85,10.25,PG,light rain
275,Boyarka,50.3191,30.2973,62.15,81,98,5.84,UA,overcast clouds
